標題,發布時間,頻道名稱,觀看次數,按讚數,留言數,影片ID,影片連結
也許我們 電視劇《誰說我結不了婚》插曲,2020-06-01T02:00:01Z,Release - Topic,75469,210,1,tRBa9p-Fnl0,https://www.youtube.com/watch?v=tRBa9p-Fnl0
Peder Elias x 吴宇恒 Yuheng Wu - First Flight （Special Video）,2024-09-20T11:59:06Z,Sony Music China索尼音樂中國,51060,1981,59,1LNn40P6mhk,https://www.youtube.com/watch?v=1LNn40P6mhk
再隔几个世纪,2021-10-07T10:08:42Z,Release - Topic,23379,116,0,F5WCKiWmNcM,https://www.youtube.com/watch?v=F5WCKiWmNcM
吴宇恒 Wu YuHeng - 少一点天分 ShaoYiDianTianFen,2021-05-04T23:34:56Z,Rekkun R,64681,996,13,12ceZq4SKqQ,https://www.youtube.com/watch?v=12ceZq4SKqQ
LOVE！,2021-04-14T02:21:36Z,Release - Topic,12769,103,0,6SyQB6ozcoY,https://www.youtube.com/watch?v=6SyQB6ozcoY
吴宇恒 - 想和你(官方歌词MV) | Christopher Wu - With You (Official Lyric Video),2023-09-30T12:00:11Z,Sony Music China索尼音樂中國,1702,26,2,E2tJp2l2TtE,https://www.youtube.com/watch?v=E2tJp2l2TtE
Leisurely,2022-09-09T02:07:48Z,Christopher Wu - Topic,25565,204,0,_jaKb4iKYt8,https://www.youtube.com/watch?v=_jaKb4iKYt8
《快乐的大人2》主题曲《出来玩吧》MV：沈月王敬轩吴宇恒合体记录快乐｜Joyful Grown-ups S2｜MangoTV,2025-03-29T08:16:24Z,湖南卫视芒果TV官方频道  China HunanTV Official Channel,7451,190,15,574eXV6DxaE,https://www.youtube.com/watch?v=574eXV6DxaE
吴宇恒-在你身边,2018-07-15T08:40:09Z,Annie Sun,6884,132,8,iUKpQ_Ib25Q,https://www.youtube.com/watch?v=iUKpQ_Ib25Q
Don't Call Me,2024-12-04T10:04:10Z,Christopher Wu - Topic,2701,36,0,WG4mdGukRGg,https://www.youtube.com/watch?v=WG4mdGukRGg
LIFE RING,2024-09-06T02:01:19Z,Christopher Wu - Topic,1777,17,0,RLFg7Dkf8YI,https://www.youtube.com/watch?v=RLFg7Dkf8YI
Slow play,2023-09-06T02:04:08Z,Christopher Wu - Topic,12662,48,0,5R2eIAkKE7A,https://www.youtube.com/watch?v=5R2eIAkKE7A
夏天和你一起在靠近,2023-10-02T18:16:30Z,吴宇恒 - Topic,310,5,0,JnrPQdMEb90,https://www.youtube.com/watch?v=JnrPQdMEb90
